route_id,origin,destination,travel_corridor,service_category,pricing_model,distance,estimated_travel_time,hatchback_price,sedan_price,suv_price,innova_price,per_km_rates,round_trip_rates,driver_allowance,tolls_and_taxes,url
home,General,General,Other Regional Routes & Informational Hubs,Special Service / Information Page,custom_or_hourly,Per actual route,Varies by traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.agrashivtourandtravels.com/
10-iconic-attractions-and-places-to-visit-in-delhi,Agra / Delhi,10 Iconic Attractions And Places To Visit In Delhi,"Curated Tour Packages (Agra, Jaipur, Delhi, Bharatpur)",Tour Package,tour_package,Per actual route,Varies by traffic,Contact for quote,"Rs. 2,000 (Agra Tour) / Custom","Rs. 2,700 (Agra Tour) / Custom",Custom Package Quote,Package Fixed Price,Sightseeing Return Included,Included,"Fuel, Parking, Tolls Included",https://www.agrashivtourandtravels.com/10-iconic-attractions-and-places-to-visit-in-delhi/
15-btn-pac-agra-to-chandigarh-taxi-services,15 Btn Pac Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/15-btn-pac-agra-to-chandigarh-taxi-services/
5-layers-of-safety-measures-taken-during-ride,General,General,Other Regional Routes & Informational Hubs,Special Service / Information Page,custom_or_hourly,Per actual route,Varies by traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.agrashivtourandtravels.com/5-layers-of-safety-measures-taken-during-ride/
509-command-agra-to-chandigarh-taxi-services,509 Command Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/509-command-agra-to-chandigarh-taxi-services/
a-f-palam-delhi-to-mathura-taxi,A F Palam Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-f-palam-delhi-to-mathura-taxi/
a-f-rajokari-delhi-to-mathura-taxi,A F Rajokari Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-f-rajokari-delhi-to-mathura-taxi/
a-g-c-r-delhi-to-mathura-taxi,A G C R Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-g-c-r-delhi-to-mathura-taxi/
a-p-s-colony-delhi-to-mathura-taxi,A P S Colony Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-p-s-colony-delhi-to-mathura-taxi/
a-t-mills-delhi-to-mathura-taxi,A T Mills Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-t-mills-delhi-to-mathura-taxi/
